Filename,Code Path,age,hours,grade,collgrad,married,south,smsa,c_city,ttl_exp,tenure
universe_31.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,,,+ tenure
universe_32.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,,,
universe_33.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_34.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_35.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,,+ tenure
universe_36.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,,
universe_37.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_38.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,,+ ttl_exp,
universe_39.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,,,+ tenure
universe_40.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,+ smsa,,,
universe_41.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_42.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,+ c_city,+ ttl_exp,
universe_43.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,+ c_city,,+ tenure
universe_44.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,+ c_city,,
universe_45.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,,+ ttl_exp,+ tenure
universe_46.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,,+ ttl_exp,
universe_47.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,,,+ tenure
universe_48.R,_start,+ age,+ hours,+ grade,+ collgrad,,+ south,,,,
universe_49.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_50.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,+ c_city,+ ttl_exp,
universe_51.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,+ c_city,,+ tenure
universe_52.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,+ c_city,,
universe_53.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,,+ ttl_exp,+ tenure
universe_54.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,,+ ttl_exp,
universe_55.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,,,+ tenure
universe_56.R,_start,+ age,+ hours,+ grade,+ collgrad,,,+ smsa,,,
universe_57.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,+ c_city,+ ttl_exp,+ tenure
universe_58.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,+ c_city,+ ttl_exp,
universe_59.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,+ c_city,,+ tenure
universe_60.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,+ c_city,,
universe_61.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,,+ ttl_exp,+ tenure
universe_62.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,,+ ttl_exp,
universe_63.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,,,+ tenure
universe_64.R,_start,+ age,+ hours,+ grade,+ collgrad,,,,,,
universe_65.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_66.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_67.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,+ c_city,,+ tenure
universe_68.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,+ c_city,,
universe_69.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_70.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,,+ ttl_exp,
universe_71.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,,,+ tenure
universe_72.R,_start,+ age,+ hours,+ grade,,+ married,+ south,+ smsa,,,
universe_73.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_74.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,+ c_city,+ ttl_exp,
universe_75.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,+ c_city,,+ tenure
universe_76.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,+ c_city,,
universe_77.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,,+ ttl_exp,+ tenure
universe_78.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,,+ ttl_exp,
universe_79.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,,,+ tenure
universe_80.R,_start,+ age,+ hours,+ grade,,+ married,+ south,,,,
universe_81.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_82.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,+ c_city,+ ttl_exp,
universe_83.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,+ c_city,,+ tenure
universe_84.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,+ c_city,,
universe_85.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,,+ ttl_exp,+ tenure
universe_86.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,,+ ttl_exp,
universe_87.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,,,+ tenure
universe_88.R,_start,+ age,+ hours,+ grade,,+ married,,+ smsa,,,
universe_89.R,_start,+ age,+ hours,+ grade,,+ married,,,+ c_city,+ ttl_exp,+ tenure
universe_90.R,_start,+ age,+ hours,+ grade,,+ married,,,+ c_city,+ ttl_exp,
universe_91.R,_start,+ age,+ hours,+ grade,,+ married,,,+ c_city,,+ tenure
universe_92.R,_start,+ age,+ hours,+ grade,,+ married,,,+ c_city,,
universe_93.R,_start,+ age,+ hours,+ grade,,+ married,,,,+ ttl_exp,+ tenure
universe_94.R,_start,+ age,+ hours,+ grade,,+ married,,,,+ ttl_exp,
universe_95.R,_start,+ age,+ hours,+ grade,,+ married,,,,,+ tenure
universe_96.R,_start,+ age,+ hours,+ grade,,+ married,,,,,
universe_97.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_98.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_99.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,+ c_city,,+ tenure
universe_100.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,+ c_city,,
universe_101.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_102.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,,+ ttl_exp,
universe_103.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,,,+ tenure
universe_104.R,_start,+ age,+ hours,+ grade,,,+ south,+ smsa,,,
universe_105.R,_start,+ age,+ hours,+ grade,,,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_106.R,_start,+ age,+ hours,+ grade,,,+ south,,+ c_city,+ ttl_exp,
universe_107.R,_start,+ age,+ hours,+ grade,,,+ south,,+ c_city,,+ tenure
universe_108.R,_start,+ age,+ hours,+ grade,,,+ south,,+ c_city,,
universe_109.R,_start,+ age,+ hours,+ grade,,,+ south,,,+ ttl_exp,+ tenure
universe_110.R,_start,+ age,+ hours,+ grade,,,+ south,,,+ ttl_exp,
universe_111.R,_start,+ age,+ hours,+ grade,,,+ south,,,,+ tenure
universe_112.R,_start,+ age,+ hours,+ grade,,,+ south,,,,
universe_113.R,_start,+ age,+ hours,+ grade,,,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_114.R,_start,+ age,+ hours,+ grade,,,,+ smsa,+ c_city,+ ttl_exp,
universe_115.R,_start,+ age,+ hours,+ grade,,,,+ smsa,+ c_city,,+ tenure
universe_116.R,_start,+ age,+ hours,+ grade,,,,+ smsa,+ c_city,,
universe_117.R,_start,+ age,+ hours,+ grade,,,,+ smsa,,+ ttl_exp,+ tenure
universe_118.R,_start,+ age,+ hours,+ grade,,,,+ smsa,,+ ttl_exp,
universe_119.R,_start,+ age,+ hours,+ grade,,,,+ smsa,,,+ tenure
universe_120.R,_start,+ age,+ hours,+ grade,,,,+ smsa,,,
universe_121.R,_start,+ age,+ hours,+ grade,,,,,+ c_city,+ ttl_exp,+ tenure
universe_122.R,_start,+ age,+ hours,+ grade,,,,,+ c_city,+ ttl_exp,
universe_123.R,_start,+ age,+ hours,+ grade,,,,,+ c_city,,+ tenure
universe_124.R,_start,+ age,+ hours,+ grade,,,,,+ c_city,,
universe_125.R,_start,+ age,+ hours,+ grade,,,,,,+ ttl_exp,+ tenure
universe_126.R,_start,+ age,+ hours,+ grade,,,,,,+ ttl_exp,
universe_127.R,_start,+ age,+ hours,+ grade,,,,,,,+ tenure
universe_128.R,_start,+ age,+ hours,+ grade,,,,,,,
universe_129.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_130.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_131.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,+ c_city,,+ tenure
universe_132.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,+ c_city,,
universe_133.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_134.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,,+ ttl_exp,
universe_135.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,,,+ tenure
universe_136.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,+ smsa,,,
universe_137.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_138.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,+ c_city,+ ttl_exp,
universe_139.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,+ c_city,,+ tenure
universe_140.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,+ c_city,,
universe_141.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,,+ ttl_exp,+ tenure
universe_142.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,,+ ttl_exp,
universe_143.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,,,+ tenure
universe_144.R,_start,+ age,+ hours,,+ collgrad,+ married,+ south,,,,
universe_145.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_146.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,+ c_city,+ ttl_exp,
universe_147.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,+ c_city,,+ tenure
universe_148.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,+ c_city,,
universe_149.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,,+ ttl_exp,+ tenure
universe_150.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,,+ ttl_exp,
universe_151.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,,,+ tenure
universe_152.R,_start,+ age,+ hours,,+ collgrad,+ married,,+ smsa,,,
universe_153.R,_start,+ age,+ hours,,+ collgrad,+ married,,,+ c_city,+ ttl_exp,+ tenure
universe_154.R,_start,+ age,+ hours,,+ collgrad,+ married,,,+ c_city,+ ttl_exp,
universe_155.R,_start,+ age,+ hours,,+ collgrad,+ married,,,+ c_city,,+ tenure
universe_156.R,_start,+ age,+ hours,,+ collgrad,+ married,,,+ c_city,,
universe_157.R,_start,+ age,+ hours,,+ collgrad,+ married,,,,+ ttl_exp,+ tenure
universe_158.R,_start,+ age,+ hours,,+ collgrad,+ married,,,,+ ttl_exp,
universe_159.R,_start,+ age,+ hours,,+ collgrad,+ married,,,,,+ tenure
universe_160.R,_start,+ age,+ hours,,+ collgrad,+ married,,,,,
universe_161.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_162.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_163.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,+ c_city,,+ tenure
universe_164.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,+ c_city,,
universe_165.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_166.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,,+ ttl_exp,
universe_167.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,,,+ tenure
universe_168.R,_start,+ age,+ hours,,+ collgrad,,+ south,+ smsa,,,
universe_169.R,_start,+ age,+ hours,,+ collgrad,,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_170.R,_start,+ age,+ hours,,+ collgrad,,+ south,,+ c_city,+ ttl_exp,
universe_171.R,_start,+ age,+ hours,,+ collgrad,,+ south,,+ c_city,,+ tenure
universe_172.R,_start,+ age,+ hours,,+ collgrad,,+ south,,+ c_city,,
universe_173.R,_start,+ age,+ hours,,+ collgrad,,+ south,,,+ ttl_exp,+ tenure
universe_174.R,_start,+ age,+ hours,,+ collgrad,,+ south,,,+ ttl_exp,
universe_175.R,_start,+ age,+ hours,,+ collgrad,,+ south,,,,+ tenure
universe_176.R,_start,+ age,+ hours,,+ collgrad,,+ south,,,,
universe_177.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_178.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,+ c_city,+ ttl_exp,
universe_179.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,+ c_city,,+ tenure
universe_180.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,+ c_city,,
universe_181.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,,+ ttl_exp,+ tenure
universe_182.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,,+ ttl_exp,
universe_183.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,,,+ tenure
universe_184.R,_start,+ age,+ hours,,+ collgrad,,,+ smsa,,,
universe_185.R,_start,+ age,+ hours,,+ collgrad,,,,+ c_city,+ ttl_exp,+ tenure
universe_186.R,_start,+ age,+ hours,,+ collgrad,,,,+ c_city,+ ttl_exp,
universe_187.R,_start,+ age,+ hours,,+ collgrad,,,,+ c_city,,+ tenure
universe_188.R,_start,+ age,+ hours,,+ collgrad,,,,+ c_city,,
universe_189.R,_start,+ age,+ hours,,+ collgrad,,,,,+ ttl_exp,+ tenure
universe_190.R,_start,+ age,+ hours,,+ collgrad,,,,,+ ttl_exp,
universe_191.R,_start,+ age,+ hours,,+ collgrad,,,,,,+ tenure
universe_192.R,_start,+ age,+ hours,,+ collgrad,,,,,,
universe_193.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_194.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_195.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,+ c_city,,+ tenure
universe_196.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,+ c_city,,
universe_197.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_198.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,,+ ttl_exp,
universe_199.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,,,+ tenure
universe_200.R,_start,+ age,+ hours,,,+ married,+ south,+ smsa,,,
universe_201.R,_start,+ age,+ hours,,,+ married,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_202.R,_start,+ age,+ hours,,,+ married,+ south,,+ c_city,+ ttl_exp,
universe_203.R,_start,+ age,+ hours,,,+ married,+ south,,+ c_city,,+ tenure
universe_204.R,_start,+ age,+ hours,,,+ married,+ south,,+ c_city,,
universe_205.R,_start,+ age,+ hours,,,+ married,+ south,,,+ ttl_exp,+ tenure
universe_206.R,_start,+ age,+ hours,,,+ married,+ south,,,+ ttl_exp,
universe_207.R,_start,+ age,+ hours,,,+ married,+ south,,,,+ tenure
universe_208.R,_start,+ age,+ hours,,,+ married,+ south,,,,
universe_209.R,_start,+ age,+ hours,,,+ married,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_210.R,_start,+ age,+ hours,,,+ married,,+ smsa,+ c_city,+ ttl_exp,
universe_211.R,_start,+ age,+ hours,,,+ married,,+ smsa,+ c_city,,+ tenure
universe_212.R,_start,+ age,+ hours,,,+ married,,+ smsa,+ c_city,,
universe_213.R,_start,+ age,+ hours,,,+ married,,+ smsa,,+ ttl_exp,+ tenure
universe_214.R,_start,+ age,+ hours,,,+ married,,+ smsa,,+ ttl_exp,
universe_215.R,_start,+ age,+ hours,,,+ married,,+ smsa,,,+ tenure
universe_216.R,_start,+ age,+ hours,,,+ married,,+ smsa,,,
universe_217.R,_start,+ age,+ hours,,,+ married,,,+ c_city,+ ttl_exp,+ tenure
universe_218.R,_start,+ age,+ hours,,,+ married,,,+ c_city,+ ttl_exp,
universe_219.R,_start,+ age,+ hours,,,+ married,,,+ c_city,,+ tenure
universe_220.R,_start,+ age,+ hours,,,+ married,,,+ c_city,,
universe_221.R,_start,+ age,+ hours,,,+ married,,,,+ ttl_exp,+ tenure
universe_222.R,_start,+ age,+ hours,,,+ married,,,,+ ttl_exp,
universe_223.R,_start,+ age,+ hours,,,+ married,,,,,+ tenure
universe_224.R,_start,+ age,+ hours,,,+ married,,,,,
universe_225.R,_start,+ age,+ hours,,,,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_226.R,_start,+ age,+ hours,,,,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_227.R,_start,+ age,+ hours,,,,+ south,+ smsa,+ c_city,,+ tenure
universe_228.R,_start,+ age,+ hours,,,,+ south,+ smsa,+ c_city,,
universe_229.R,_start,+ age,+ hours,,,,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_230.R,_start,+ age,+ hours,,,,+ south,+ smsa,,+ ttl_exp,
universe_231.R,_start,+ age,+ hours,,,,+ south,+ smsa,,,+ tenure
universe_232.R,_start,+ age,+ hours,,,,+ south,+ smsa,,,
universe_233.R,_start,+ age,+ hours,,,,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_234.R,_start,+ age,+ hours,,,,+ south,,+ c_city,+ ttl_exp,
universe_235.R,_start,+ age,+ hours,,,,+ south,,+ c_city,,+ tenure
universe_236.R,_start,+ age,+ hours,,,,+ south,,+ c_city,,
universe_237.R,_start,+ age,+ hours,,,,+ south,,,+ ttl_exp,+ tenure
universe_238.R,_start,+ age,+ hours,,,,+ south,,,+ ttl_exp,
universe_239.R,_start,+ age,+ hours,,,,+ south,,,,+ tenure
universe_240.R,_start,+ age,+ hours,,,,+ south,,,,
universe_241.R,_start,+ age,+ hours,,,,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_242.R,_start,+ age,+ hours,,,,,+ smsa,+ c_city,+ ttl_exp,
universe_243.R,_start,+ age,+ hours,,,,,+ smsa,+ c_city,,+ tenure
universe_244.R,_start,+ age,+ hours,,,,,+ smsa,+ c_city,,
universe_245.R,_start,+ age,+ hours,,,,,+ smsa,,+ ttl_exp,+ tenure
universe_246.R,_start,+ age,+ hours,,,,,+ smsa,,+ ttl_exp,
universe_247.R,_start,+ age,+ hours,,,,,+ smsa,,,+ tenure
universe_248.R,_start,+ age,+ hours,,,,,+ smsa,,,
universe_249.R,_start,+ age,+ hours,,,,,,+ c_city,+ ttl_exp,+ tenure
universe_250.R,_start,+ age,+ hours,,,,,,+ c_city,+ ttl_exp,
universe_251.R,_start,+ age,+ hours,,,,,,+ c_city,,+ tenure
universe_252.R,_start,+ age,+ hours,,,,,,+ c_city,,
universe_253.R,_start,+ age,+ hours,,,,,,,+ ttl_exp,+ tenure
universe_254.R,_start,+ age,+ hours,,,,,,,+ ttl_exp,
universe_255.R,_start,+ age,+ hours,,,,,,,,+ tenure
universe_256.R,_start,+ age,+ hours,,,,,,,,
universe_257.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_258.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_259.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,,+ tenure
universe_260.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,,
universe_261.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_262.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,,+ ttl_exp,
universe_263.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,,,+ tenure
universe_264.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,+ smsa,,,
universe_265.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_266.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,+ c_city,+ ttl_exp,
universe_267.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,+ c_city,,+ tenure
universe_268.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,+ c_city,,
universe_269.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,,+ ttl_exp,+ tenure
universe_270.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,,+ ttl_exp,
universe_271.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,,,+ tenure
universe_272.R,_start,+ age,,+ grade,+ collgrad,+ married,+ south,,,,
universe_273.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_274.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,+ ttl_exp,
universe_275.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,,+ tenure
universe_276.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,,
universe_277.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,,+ ttl_exp,+ tenure
universe_278.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,,+ ttl_exp,
universe_279.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,,,+ tenure
universe_280.R,_start,+ age,,+ grade,+ collgrad,+ married,,+ smsa,,,
universe_281.R,_start,+ age,,+ grade,+ collgrad,+ married,,,+ c_city,+ ttl_exp,+ tenure
universe_282.R,_start,+ age,,+ grade,+ collgrad,+ married,,,+ c_city,+ ttl_exp,
universe_283.R,_start,+ age,,+ grade,+ collgrad,+ married,,,+ c_city,,+ tenure
universe_284.R,_start,+ age,,+ grade,+ collgrad,+ married,,,+ c_city,,
universe_285.R,_start,+ age,,+ grade,+ collgrad,+ married,,,,+ ttl_exp,+ tenure
universe_286.R,_start,+ age,,+ grade,+ collgrad,+ married,,,,+ ttl_exp,
universe_287.R,_start,+ age,,+ grade,+ collgrad,+ married,,,,,+ tenure
universe_288.R,_start,+ age,,+ grade,+ collgrad,+ married,,,,,
universe_289.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_290.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_291.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,,+ tenure
universe_292.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,+ c_city,,
universe_293.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_294.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,,+ ttl_exp,
universe_295.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,,,+ tenure
universe_296.R,_start,+ age,,+ grade,+ collgrad,,+ south,+ smsa,,,
