idcode,union,hours,age,grade,collgrad,married,south,smsa,c_city,ttl_exp,tenure,wage
325,union,60.0,34,12.0,not college grad,single,1,SMSA,0,16.115385,3.25,4.6135263
327,nonunion,30.0,38,9.0,not college grad,single,0,SMSA,1,3.8525643,,4.025765
329,union,40.0,42,14.0,not college grad,single,0,SMSA,1,19.076923,2.5,12.181962
330,union,40.0,43,16.0,college grad,single,1,nonSMSA,0,16.115385,0.6666667,4.7504005
331,union,40.0,37,15.0,not college grad,single,0,SMSA,1,13.397435,12.416667,8.05153
332,nonunion,40.0,36,9.0,not college grad,single,0,SMSA,1,10.903846,4.75,7.4476643
333,union,40.0,35,16.0,college grad,married,0,SMSA,1,13.769231,11.5,8.518515
338,nonunion,18.0,41,14.0,not college grad,married,0,nonSMSA,0,9.019231,1.3333334,7.2463775
341,nonunion,40.0,41,14.0,not college grad,married,0,SMSA,0,17.602562,6.1666665,11.97262
345,nonunion,32.0,45,12.0,not college grad,married,0,SMSA,0,10.198718,5.0833335,8.80837
347,nonunion,40.0,36,14.0,not college grad,married,0,SMSA,0,17.096153,17.0,11.070854
350,nonunion,40.0,39,14.0,not college grad,married,0,SMSA,0,16.51923,2.4166667,9.677936
352,nonunion,20.0,35,13.0,not college grad,married,0,SMSA,1,14.365385,14.166667,3.5426712
354,nonunion,35.0,36,12.0,not college grad,single,0,nonSMSA,0,7.128205,2.5,4.420288
356,nonunion,40.0,43,16.0,college grad,married,0,SMSA,0,10.403847,9.75,7.318838
358,nonunion,40.0,45,12.0,not college grad,married,0,SMSA,0,24.474358,17.416666,8.05153
359,nonunion,40.0,44,14.0,not college grad,married,0,SMSA,0,15.057693,6.0,10.8373575
360,,40.0,37,12.0,not college grad,married,0,SMSA,1,15.243589,10.75,38.70926
363,nonunion,36.0,41,12.0,not college grad,single,0,SMSA,0,11.602564,9.25,9.895326
367,union,35.0,37,13.0,not college grad,married,0,nonSMSA,0,8.083333,8.083333,10.354262
376,nonunion,42.0,41,12.0,not college grad,single,0,SMSA,0,17.50641,17.5,11.5056305
377,nonunion,65.0,38,16.0,college grad,married,1,SMSA,1,13.564102,3.8333333,23.824474
379,nonunion,40.0,43,13.0,not college grad,single,0,SMSA,0,21.737179,20.166666,7.5523334
382,union,35.0,42,12.0,not college grad,single,0,SMSA,0,21.326925,1.5833334,7.962963
384,nonunion,25.0,41,13.0,not college grad,married,0,SMSA,0,7.134616,,4.830918
389,nonunion,15.0,40,14.0,not college grad,married,0,SMSA,0,1.75,0.083333336,5.466986
392,union,40.0,43,8.0,not college grad,married,0,SMSA,0,8.865385,2.75,8.05153
395,nonunion,40.0,36,16.0,college grad,single,0,nonSMSA,0,16.365385,13.75,6.5458913
396,nonunion,32.0,37,14.0,not college grad,married,0,SMSA,0,13.711538,1.9166666,3.260869
397,nonunion,20.0,37,13.0,not college grad,married,0,SMSA,0,12.942307,0.75,4.830918
398,nonunion,40.0,35,16.0,college grad,married,0,SMSA,0,11.403846,6.4166665,8.413847
399,nonunion,40.0,37,16.0,college grad,married,0,SMSA,0,16.76923,0.0,16.529789
402,union,40.0,36,12.0,not college grad,married,0,SMSA,0,13.589743,9.25,6.175522
403,nonunion,40.0,40,12.0,not college grad,single,0,SMSA,0,10.5,10.5,5.7326884
406,nonunion,40.0,36,12.0,not college grad,married,0,SMSA,0,13.198718,0.5,6.280193
407,,15.0,37,18.0,college grad,married,0,nonSMSA,0,9.307693,4.5833335,1.0322473
409,,26.0,36,14.0,not college grad,married,0,SMSA,1,12.006411,1.6666666,5.958131
410,nonunion,42.0,43,14.0,not college grad,single,0,nonSMSA,0,11.935898,2.5,10.185181
414,nonunion,39.0,36,16.0,college grad,married,0,SMSA,0,15.108974,5.5,5.515297
415,nonunion,50.0,35,15.0,not college grad,single,0,SMSA,0,9.269231,3.3333333,5.7890487
417,nonunion,20.0,34,12.0,not college grad,married,0,SMSA,0,7.8397436,0.16666667,3.3444817
419,nonunion,40.0,36,12.0,not college grad,married,0,SMSA,0,8.5,2.3333333,6.280193
422,nonunion,35.0,36,11.0,not college grad,single,0,SMSA,0,12.589744,7.1666665,1.7230269
423,nonunion,30.0,42,12.0,not college grad,single,1,nonSMSA,0,12.455128,5.1666665,3.4866207
425,,40.0,34,12.0,not college grad,single,0,nonSMSA,0,8.807693,1.0,3.6371226
426,nonunion,30.0,40,12.0,not college grad,married,0,SMSA,0,1.1282052,0.41666666,2.6811595
429,nonunion,40.0,43,13.0,not college grad,married,1,SMSA,0,5.852564,3.0833333,7.745568
431,union,38.0,36,16.0,college grad,single,0,nonSMSA,0,15.974359,8.333333,11.409016
432,nonunion,55.0,37,12.0,not college grad,married,0,SMSA,0,9.217949,6.75,7.0370355
433,nonunion,40.0,43,13.0,not college grad,married,0,SMSA,0,13.2756405,1.8333334,6.6586123
434,,30.0,34,12.0,not college grad,single,0,SMSA,0,6.9166665,1.1666666,3.0518394
436,nonunion,40.0,37,12.0,not college grad,married,0,SMSA,0,18.25,18.25,7.850241
440,nonunion,38.0,37,11.0,not college grad,married,0,SMSA,0,13.288462,2.8333333,8.148145
441,nonunion,16.0,42,9.0,not college grad,married,0,SMSA,0,1.923077,0.083333336,7.2463775
443,nonunion,20.0,37,13.0,not college grad,married,0,SMSA,0,10.916667,1.75,5.6360707
447,nonunion,37.0,39,12.0,not college grad,married,0,SMSA,0,14.185897,4.0,11.046693
448,nonunion,45.0,38,16.0,college grad,single,0,nonSMSA,0,9.211538,4.1666665,11.626405
449,nonunion,42.0,45,14.0,not college grad,married,0,SMSA,0,8.807693,6.9166665,8.623189
450,nonunion,20.0,39,14.0,not college grad,married,0,nonSMSA,0,17.673077,10.75,11.25418
451,nonunion,43.0,40,10.0,not college grad,single,0,SMSA,0,5.7756414,5.75,5.2415447
455,nonunion,7.0,39,13.0,not college grad,married,0,SMSA,1,10.961538,2.0,9.202893
456,,30.0,36,12.0,not college grad,married,0,SMSA,1,7.0384617,0.33333334,3.7625415
457,,45.0,38,14.0,not college grad,married,0,SMSA,0,9.557693,2.3333333,35.731617
459,,30.0,38,8.0,not college grad,single,0,SMSA,0,19.192308,9.666667,5.852843
460,,3.0,42,13.0,not college grad,married,0,nonSMSA,0,6.9038463,1.5,3.0991251
467,union,40.0,41,14.0,not college grad,single,0,nonSMSA,0,17.46154,8.333333,7.2383237
469,nonunion,48.0,35,11.0,not college grad,single,0,nonSMSA,0,15.448718,9.916667,6.771333
474,nonunion,20.0,35,12.0,not college grad,married,0,SMSA,0,7.275641,1.5833334,2.8582926
477,nonunion,30.0,42,12.0,not college grad,married,0,nonSMSA,0,10.352564,2.25,3.0998378
478,nonunion,32.0,38,12.0,not college grad,married,0,SMSA,0,5.897436,1.8333334,6.5861454
481,union,38.0,37,12.0,not college grad,married,0,nonSMSA,0,14.5,7.3333335,8.293073
483,nonunion,40.0,42,12.0,not college grad,married,0,nonSMSA,0,5.7564096,3.0,5.032206
485,nonunion,40.0,35,17.0,college grad,married,1,SMSA,0,11.788462,0.083333336,3.6231885
486,,40.0,38,18.0,college grad,single,0,SMSA,0,15.692307,6.75,11.073949
487,,22.0,36,12.0,not college grad,single,0,nonSMSA,0,12.576923,2.0833333,6.6509566
488,nonunion,25.0,43,16.0,college grad,married,1,SMSA,1,8.01282,1.0,12.38325
492,nonunion,50.0,39,12.0,not college grad,married,0,SMSA,0,14.288462,3.9166667,7.2463775
495,union,45.0,38,16.0,college grad,married,0,SMSA,0,13.666667,13.666667,8.599029
496,nonunion,40.0,40,12.0,not college grad,married,0,SMSA,0,18.48077,11.75,12.850242
499,,40.0,38,10.0,not college grad,single,0,SMSA,1,5.2884617,0.33333334,4.105351
504,union,60.0,43,16.0,college grad,married,0,SMSA,0,15.057692,14.416667,10.32206
505,union,18.0,36,14.0,not college grad,married,0,nonSMSA,0,18.583334,18.583334,6.0305943
507,,40.0,39,12.0,not college grad,married,0,nonSMSA,0,8.423077,5.8333335,38.70926
510,union,40.0,35,12.0,not college grad,married,0,nonSMSA,0,9.166667,7.5,7.5281787
516,union,40.0,35,12.0,not college grad,married,0,SMSA,0,13.403846,6.9166665,3.566825
518,nonunion,40.0,43,12.0,not college grad,married,0,nonSMSA,0,16.929487,16.916666,6.8115935
519,union,40.0,36,12.0,not college grad,married,1,SMSA,1,12.461538,5.6666665,6.3446035
521,nonunion,40.0,39,7.0,not college grad,single,0,nonSMSA,0,5.923077,1.0,5.9017696
522,nonunion,40.0,41,14.0,not college grad,married,0,SMSA,1,9.576923,6.9166665,5.4508834
524,union,20.0,38,12.0,not college grad,married,0,SMSA,1,21.75,1.0,5.289855
526,,35.0,38,12.0,not college grad,married,0,SMSA,1,10.076923,3.1666667,7.265882
531,nonunion,50.0,40,16.0,college grad,single,0,SMSA,0,11.826923,1.1666666,1.5458931
533,union,40.0,35,16.0,college grad,married,0,SMSA,0,11.025641,3.8333333,5.611914
538,,12.0,45,12.0,not college grad,single,0,SMSA,0,10.160256,0.5833333,3.5535119
540,union,35.0,42,9.0,not college grad,married,0,SMSA,0,7.730769,4.1666665,3.454104
541,nonunion,55.0,38,13.0,not college grad,single,1,nonSMSA,0,16.980768,13.416667,22.520117
543,union,40.0,41,6.0,not college grad,single,0,SMSA,0,3.3461537,1.25,4.4283414
548,,35.0,38,12.0,not college grad,married,0,SMSA,1,9.423077,1.5833334,4.7778287
549,nonunion,30.0,43,12.0,not college grad,single,0,SMSA,0,17.01923,0.25,6.280193
551,,24.0,36,16.0,college grad,married,1,SMSA,0,14.076923,3.0833333,9.661837
555,nonunion,40.0,36,12.0,not college grad,married,0,SMSA,0,16.365385,1.3333334,12.584539
558,,40.0,42,12.0,not college grad,single,0,SMSA,1,6.4166665,1.4166666,4.180602
562,nonunion,37.0,44,12.0,not college grad,married,0,SMSA,1,8.121795,1.4166666,8.373587
570,union,35.0,36,16.0,college grad,single,0,SMSA,1,11.461538,10.333333,20.789045
572,union,38.0,35,14.0,not college grad,single,0,SMSA,1,7.9679484,6.3333335,7.987117
576,nonunion,24.0,36,11.0,not college grad,single,0,SMSA,1,6.173077,3.0,2.5201283
584,union,35.0,42,12.0,not college grad,single,0,SMSA,1,14.448718,3.5833333,11.062799
585,union,40.0,43,12.0,not college grad,single,0,SMSA,0,17.121794,1.3333334,9.677936
588,union,40.0,45,16.0,college grad,married,0,SMSA,0,4.25,2.0833333,8.904991
595,nonunion,35.0,40,12.0,not college grad,married,0,SMSA,0,11.615385,1.5833334,4.21095
604,nonunion,40.0,43,12.0,not college grad,married,0,nonSMSA,0,2.8076923,0.8333333,4.180602
606,,35.0,42,16.0,college grad,married,0,SMSA,1,17.198717,1.0833334,1.8376268
608,,37.0,45,16.0,college grad,married,1,SMSA,1,9.301282,1.8333334,8.691476
609,union,40.0,38,12.0,not college grad,single,0,SMSA,0,9.557693,7.75,10.064413
614,union,35.0,42,12.0,not college grad,single,0,SMSA,0,20.346153,20.333334,11.948467
617,union,35.0,42,17.0,college grad,married,0,SMSA,0,14.75,14.75,19.911428
618,nonunion,40.0,40,16.0,college grad,married,1,SMSA,0,4.75,2.4166667,7.938803
624,nonunion,40.0,45,12.0,not college grad,married,0,SMSA,0,9.583333,4.8333335,10.064413
635,union,35.0,40,12.0,not college grad,single,0,SMSA,1,9.692307,2.4166667,7.520126
636,,40.0,42,12.0,not college grad,single,1,nonSMSA,0,3.3397436,0.16666667,2.7173913
641,union,32.0,42,18.0,college grad,single,0,SMSA,1,12.089743,10.666667,18.389694
643,nonunion,50.0,40,15.0,not college grad,single,0,SMSA,1,14.019231,2.0833333,12.697259
644,,35.0,34,17.0,college grad,married,0,SMSA,0,13.429487,1.1666666,9.647542
646,nonunion,20.0,42,16.0,college grad,married,0,SMSA,0,18.76923,15.666667,15.09662
654,,40.0,44,14.0,not college grad,married,1,SMSA,0,11.25,2.3333333,7.734114
655,,37.0,45,13.0,not college grad,single,0,nonSMSA,0,11.314103,0.5,13.906358
656,nonunion,28.0,42,10.0,not college grad,married,0,SMSA,0,7.326923,2.0833333,5.6360707
659,union,35.0,38,17.0,college grad,married,0,SMSA,0,10.583334,3.6666667,9.734298
661,nonunion,35.0,44,18.0,college grad,single,0,SMSA,0,2.6153846,1.0833334,10.1771345
664,nonunion,27.0,42,12.0,not college grad,married,0,SMSA,0,6.365385,1.5833334,3.6231885
665,nonunion,20.0,40,8.0,not college grad,single,1,SMSA,0,14.923077,9.416667,10.064413
670,nonunion,40.0,44,16.0,college grad,single,0,SMSA,0,20.333334,20.333334,9.677936
671,nonunion,40.0,45,12.0,not college grad,married,1,SMSA,0,11.788462,1.6666666,5.2334948
681,nonunion,40.0,41,12.0,not college grad,married,0,SMSA,0,11.012821,3.9166667,6.191625
683,nonunion,40.0,45,17.0,college grad,married,0,SMSA,0,10.551283,6.5833335,12.777775
684,nonunion,40.0,37,12.0,not college grad,single,0,SMSA,1,11.711538,3.1666667,11.610305
688,nonunion,37.0,38,9.0,not college grad,single,0,SMSA,0,6.538462,2.25,4.355878
689,nonunion,40.0,36,15.0,college grad,married,1,SMSA,0,7.544872,0.75,6.425121
690,union,38.0,39,15.0,not college grad,married,0,SMSA,0,12.403846,4.75,7.4557123
691,nonunion,38.0,45,12.0,not college grad,married,0,SMSA,0,14.769231,13.083333,16.29629
692,nonunion,16.0,45,12.0,not college grad,married,0,SMSA,0,8.410256,3.8333333,5.032206
693,,40.0,41,12.0,not college grad,married,0,SMSA,0,7.6858974,2.3333333,4.421789
694,,40.0,43,14.0,not college grad,single,1,SMSA,1,11.724359,0.6666667,40.198082
696,union,35.0,43,14.0,not college grad,married,0,SMSA,0,11.724359,6.4166665,5.6763277
697,union,40.0,41,14.0,not college grad,married,0,SMSA,0,15.480769,1.3333334,9.057972
699,nonunion,50.0,43,16.0,college grad,single,0,SMSA,0,11.346154,1.1666666,8.05153
714,nonunion,40.0,36,18.0,college grad,married,0,SMSA,1,9.788462,2.0,15.869557
716,nonunion,40.0,39,12.0,not college grad,married,0,SMSA,0,19.185896,12.833333,16.64251
718,union,40.0,38,10.0,not college grad,single,0,SMSA,0,1.474359,0.5,3.7625415
719,nonunion,30.0,39,11.0,not college grad,single,0,SMSA,0,2.9423077,2.0833333,5.685618
722,nonunion,40.0,36,12.0,not college grad,married,1,SMSA,0,7.025642,0.16666667,3.3444817
724,nonunion,43.0,35,13.0,not college grad,married,0,SMSA,0,14.006411,9.916667,7.487919
727,nonunion,50.0,37,12.0,not college grad,single,0,SMSA,0,18.871794,1.3333334,10.185181
730,union,60.0,44,12.0,not college grad,married,0,SMSA,0,14.205129,5.3333335,6.70692
731,,16.0,42,12.0,not college grad,married,1,nonSMSA,0,17.5,7.0833335,2.232711
732,union,28.0,40,16.0,college grad,single,0,SMSA,0,16.596153,6.0,4.3156176
737,nonunion,30.0,41,17.0,college grad,married,0,SMSA,0,13.006411,6.75,9.999998
745,nonunion,35.0,38,12.0,not college grad,married,0,nonSMSA,0,14.192307,1.4166666,13.268916
748,union,37.0,39,12.0,not college grad,married,1,SMSA,1,19.596153,6.5,9.33172
